标题,链接,描述,标签,时间
2025年中国数字化赋能实体商业实践白皮书,https://report.iresearch.cn/report/202504/4711.shtml,实体商业逐步回归日常生活舞台，成为城市经济发展的重要抓手。从商业综合体到品牌商户，如何突破传统模式、在复杂多变的市场中稳步增长，成为每一位从业者的核心命题。数字化转型无疑是破解上述困局的关键路径。对于实体商业而言，数字化不仅是技术的应用，更是商业模式和经营逻辑的重塑。从选址到开店，从消费者触达至经营扩张，数字化手段正深入到实体商业的每一个环节，解决品牌商户遇到的“选址难、营销难、运营难、拓展难”等痛点。通过数字化赋能，实体商业可以实现线上线下的无缝融合，全面提升经营效率和市场竞争力，最终实现可持续增长。,"实体商业, 数字化转型",2025/4/17 11:00:00
2025年中国制造业数字化转型行业发展研究报告,https://report.iresearch.cn/report/202504/4710.shtml,制造业数字化转型已经如火如荼的开展了几年了，需求端市场的需求是否发生变化、供给端的服务与竞争格局是否发生变化等都值得关注。对此，艾瑞在前两份制造业数字化转型报告研究与积累的基础上，发布了《2025年中国制造业数字化转型行业发展研究报告》，试图从需求端宏观情况、需求端转型现状、供给端产品及服务特点等几个层面来分析当前制造业数字化转型市场的发展特点。调研结果发现：需求端中生产制造管理相关、供应链等依然是重点，也是离散制造业的核心诉求，需求端整体呈现理性与聚焦并行的特点；供给端的整体竞争格局未变，但逐步呈现产品体系更加清晰、产品更加丰富、解决方案更加系统化等趋势。总之，经过几年的发展，制造业数字化转型整体呈现出走向深水区的特点。报告分为六个部分：1）需求市场宏观分析篇，梳理需求端的核心需求场景；2）需求市场转型现状调研篇，调研经过几年转型后，当前需求市场的态度及进度情况；3）供给市场篇，聚焦分析当前供给市场的产品及服务变化；4）典型案例篇，展现典型供给方企业提供数字化转型的思路和落地案例情况，供市场参考；5）行业启示篇，分别从市场机会、产品和数据等角度进行了探讨，以期给各类玩家带来一定启发；6）附录-专家之声篇是一线企业专家的项目实践经验分享与前瞻思考。,"制造业, 数字化转型",2025/4/15 10:42:57
2024-2025年中国共享电单车行业研究报告,https://report.iresearch.cn/report/202504/4709.shtml,《2024-2025年中国共享电单车行业研究报告》深入剖析了中国共享电单车行业的发展背景、发展历程、市场竞争格局、用户行为特征及未来发展趋势。报告指出，在经济持续增长和绿色出行背景下，共享出行模式已被广泛接受。截至2024年底，共享电单车投放量已达到约713万辆，覆盖全国31个省、自治区和直辖市。报告强调，共享电单车已成为公共交通体系的重要补充，为消费者提供了便捷、环保的出行选择。数据显示，都市青年用户群体已成为共享电单车消费市场的中坚力量，骑行满意度高，用户对扫码、骑行、结算支付等关键环节均给予高度评价。此外，报告还分析了技术创新与智能化对行业发展的影响。随着无人驾驶技术、车联网、人工智能等前沿技术在共享电单车领域的应用，行业正逐步迈向智能化、网联化的新阶段。未来，共享电单车有望通过技术升级和模式创新，进一步提升用户体验，优化城市出行结构，推动行业高质量发展。,"共享电单车, 绿色出行, 公共交通体系",2025/4/14 16:13:14
2025年中国人力资源数字化行业研究报告,https://report.iresearch.cn/report/202504/4708.shtml,报告主要围绕以下三点展开讨论：（1）企业人力数字化需求差异：报告对不同业务布局及不同行业对人力资源数字化需求差异展开讨论，尤其针对有灵活用工、业务外包等需求的企业人力管理体系建设提供思路。（2）AI+HRM：AI通过精准匹配岗位需求与人才提高招聘效率，降低人工成本，同时在员工培训、人才盘点及薪酬设计等环节的应用逐渐明晰。报告围绕企业在人事管理中对AI的需求及厂商对AI应用的商业落地可能性展开讨论。（3）全球人力资源服务：企业业务全球化扩张，对人力资源管理的专业性提出了更高的要求。人力资源管理者不仅要具备国际视野，还需了解不同国家和地区的劳动法规、文化差异，以适应全球化业务的复杂性和动态性。,"人力资源, 数字化",2025/4/11 12:06:50
2024年中国外贸B2B SaaS行业研究报告,https://report.iresearch.cn/report/202504/4707.shtml,当前全球外贸增速整体放缓，但新兴市场结构性机会逐渐展露，外贸B2B企业有更多机会的同时也面临着成本上升、合规风险及市场竞争加剧等多重挑战。为更从容地应对市场格局变化，提升供应链韧性与抗风险能力，数字化转型是当前最优解，而SaaS正契合外贸企业低成本、低门槛快速实现数字化的需求。本报告围绕外贸SaaS展开，梳理当前外贸B2B SaaS发展动态、市场格局及AI渗透情况，为外贸企业战略制定、产品选型及投资决策提供数据支撑与前瞻洞察，助力外贸企业紧跟效率红利，把握出海机遇。,"外贸, B2B, SaaS",2025/4/8 10:45:41
2022年中国半导体IC产业研究报告-简版,https://report.iresearch.cn/report/202209/4055.shtml,从1956年创办第一个半导体物理专业开始，我国半导体产业萌芽于独立自主的梦想，走过初创时代的百废待兴，见证了动荡年代的执着探索，跟随改革开放的步伐一路向前，最终于21世纪建立起完整的产业链体系。对此，艾瑞发布《中国半导体IC产业研究报告》，从半导体核心领域-集成电路角度出发，剖析中国半导体IC各产业链环节，并基于数字电路与模拟电路给到中国半导体IC产品机遇洞察，为IC产业趋势发展提供分析判断。希望通过本报告，为读者呈现中国半导体IC的产业发展历程、产业链商业全景、产品发展机遇的多维视角，欢迎各界探讨指正。【简版报告说明】以下报告目录及图表目录为完整版目录，供参考。简版报告内容，以实际页面展示为准。,"半导体, IC",2022-09-01
2022年中国美颜拍摄APP市场洞察白皮书,https://report.iresearch.cn/report/202209/4054.shtml,消费升级的背景下，用户一方面是对物质的消费升级，另外一方面是对精神的消费升级。对美的追求恰是一种精神消费升级的体现，年轻用户更甚。美颜拍摄APP所代表的工具化产品更是驱动线上社交新一轮的颜值经济重塑。本篇报告着眼于美颜拍摄APP大赛道背景下，勾画平台美颜拍摄类APP行业用户画像、使用行为与消费特征，同时探讨以B612为代表的美颜拍摄APP平台营销模式新趋势，从而传递平台营销价值。,"美颜拍摄, App",2022-09-01
2022年中国商户私域布局洞察研究报告,https://report.iresearch.cn/report/202209/4053.shtml,报告通过描述中国商户私域布局图景、私域营销新变化以及商户调研观点，深入探讨中国商户私域布局在爆发期的商业模式与发展趋势。商户私域布局历经传统渠道与用户建立弱连接、O2O流量平台实现线下店铺向线上的同步映射逐渐向通过新模式、新工具有效达成私域用户资产管理演进。疫情催化下，线上商户私域布局已然从试水转变为必要。,私域,2022-09-01
2022年互联网创作者经济白皮书,https://report.iresearch.cn/report/202208/4052.shtml,元宇宙浪潮下，去中心化的创作者经济是支撑元宇宙内容的基础，互联网内容创作工具及服务正逐渐成为创作者经济中的重要组成部分。本篇报告以互联网的大致发展阶段划分，分析创作者经济的演进历程，关注创作者经济下三大核心角色的发展变化、特征及关系，同时针对当前互联网特征下创作者经济面临的问题及未来能动性展开分析，并在报告最后对Web 3.0时代理想化的创作者经济模式进行展望。,"互联网, 创作者经济",2022-08-31
2022年宠物保健品消费态度洞察白皮书,https://report.iresearch.cn/report/202208/4051.shtml,报告通过桌面研究、定量问卷调研和焦点小组座谈会三种研究方法，分析1-2线城市宠物主的养宠偏好以及他们在宠物保健品上的消费现状及消费态度；洞察膏剂用户对各膏剂保健品品牌产品的体验与评价、现有产品的痛点及改进建议；同时对潜在膏剂用户的需求及期望进行挖掘，了解他们的购买阻碍因素及未来尝试动机；从宠物主的需求与现有痛点出发，探索宠物膏剂保健品未来的发展趋势。,宠物保健品,2022-08-30
2022年中国商办资产运营行业研究报告,https://report.iresearch.cn/report/202208/4049.shtml,随着城镇化的发展，商办行业进入存量运营阶段。商办市场供过于求，空置率高企，开发红利减退，开发商寻找新的资产去化增值路径。城市更新、REITs、轻资产运营模式的发展也推动商办运营向专业化、全周期运营转变。本报告聚焦商办资产运营转型发展，研究范畴覆盖商办资产运营的发展背景和动因，从行业生态及服务链洞察商办运营现存的痛点，对目前自持经营模式、投资管理主导模式、菜单型服务模式、复合型运营管理模式四类典型模式案例进行对比分析，旨在探索未来商办资产运营模式的发展可能。,商办资产运营,2022-08-25
2022年中国制造业数字化转型研究报告,https://report.iresearch.cn/report/202208/4048.shtml,《2022年中国制造业数字化转型研究报告》立足制造业整体，围绕制造业数字化转型的系列问题进行讨论，试图帮助企业建立对数字化转型的认知，助力企业摸索符合自身特征的转型之路。这样的认知包括两个层面：其一，对外了解数字化转型是什么，宏观环境如何，产业布局如何，以及有哪些优质的公司及产品；其二，对内认知制造业企业是否具备转型条件，自身基础如何、转型会带来哪些价值、可能会遇到哪些难点。在此分析结果下，报告还提出了针对前文痛难点的转型建议，并针对供需双方、技术环境提出相应的研究启示。此外，报告中穿插了不少业内优秀的公司及产品案例，帮助读者更加具象化地理解制造业数字化转型的发展现状和前沿热点，引发新的思考。,"制造业, 数字化转型",2022-08-25
2022年中国实时音视频行业研究报告,https://report.iresearch.cn/report/202208/4047.shtml,《2022年中国实时音视频行业研究报告》对我国实时音视频行业的发展背景、竞争格局、盈利能力、市场规模等情况进行深入梳理。并从供给侧与需求侧的角度，深挖厂商的核心能力与技术路径、洞察实时音视频技术在重点赛道的应用效能，并对卓越服务商及卓越解决方案进行深度解读。,实时音视频,2022-08-25
艾瑞观潮系列：文旅行业季度观察,https://report.iresearch.cn/report/202208/4046.shtml,本报告为艾瑞行业季度观察系列。结合桌面研究、专家访谈及艾瑞智研平台-消费洞察数据库的持续监测，分析在不确定新常态的消费环境下，文旅行业呈现的变化及趋势。包括微度假、精致露营、康养旅游、乡村民宿、虚拟旅游的机会与痛点，希望帮助业内相关人员感知趋势、锁定热点、识别机会。,文旅,2022-08-24
不啻微芒，造炬成阳：2022年中国低代码行业研究报告-简版,https://report.iresearch.cn/report/202208/4045.shtml,本报告从低代码与企业数字化相辅相成的背景出发，围绕低代码的产品发展路径、应用渗透路径、厂商发展路径对行业进行深度挖掘，并提出低代码行业的三个挑战与三个建议。报告进一步分析了低代码市场投融资现状，并对厂商的盈利结构、盈利拐点、估值模式、市场空间进行全方位剖析，相应的提出低代码赛道的投资建议。此外，本报告从多个行业的痛点及需求入手，梳理低代码解决方案和效果，展示低代码的典型应用案例，最后展望行业未来整体发展趋势，为厂商发展提供参考。【简版报告说明】以下报告目录及图表目录为完整版目录，供参考。简版报告内容，以实际页面展示为准。,低代码行业,2022-08-18
艾瑞观潮系列：科技消费行业季度洞察,https://report.iresearch.cn/report/202208/4044.shtml,本报告为艾瑞行业季度观察系列。结合桌面研究、专家访谈及艾瑞智研平台-消费洞察数据库的持续监测，分析在不确定新常态的消费环境下，基于健康、智能、绿色的消费风向，在智能健身、智能睡眠、智能养宠领域的机会与痛点，希望帮助业内相关人员感知趋势、锁定热点、识别机会。,科技消费,2022-08-16
2022年蛋白粉：乳清蛋白消费趋势报告,https://report.iresearch.cn/report/202208/4042.shtml,蛋白粉是核心的膳食营养补充食品，蛋白粉市场中乳清蛋白在口味和便捷体验等方面已呈现出消费升级现象。其中，乳清蛋白女性消费者具备高收入、高购买力的特质，且有更综合多样的购买诉求，人群需求亟待满足，乳清蛋白女性市场颇具潜力。研究发现，乳清蛋白在拓展女性市场、产品优化创新、升级便捷体验和整合营销布局方面存在发展机会。,"蛋白粉, 乳清蛋白",2022-08-09
云服务行业动态及热点研究月报 - 2022年7月,https://report.iresearch.cn/report/202208/4041.shtml,本月报是艾瑞针对整体云服务，基础云，视频云与内容协作平台等赛道在本月产生的热门事件、政策动向、技术革新、招采信息、资本动态等，及重点客户和头部企业的动态信号及标杆案例，进行材料搜集并整理的行业信息监测报告。艾瑞基于云服务行业洞察，捕捉行业最新业态，为读者提供商业见解的初衷，对公开信息进行分行业、分类别的收集整理，并结合多位云服务产业分析师对关键信息的分析洞见，向读者简洁、清晰、深入地展示近期中国云服务市场的变化方向。,云服务,2022-08-08
2022年中国年轻人群运动发展白皮书,https://report.iresearch.cn/report/202208/4040.shtml,《2022年中国年轻人群运动发展白皮书》深入分析了中国年轻人群运动发展现状，了解年轻人群对运动态度变化特征以及参与若干热门运动的心智变化历程，挖掘年轻人群整体运动消费特征，分析年轻人群对国潮运动品牌的行为及态度，探索中国年轻人群体育市场发展潜，并对未来运动产业发展趋势进行展望。,年轻人群运动,2022-08-07
2022年中国视频云服务行业研究报告-简版,https://report.iresearch.cn/report/202207/4038.shtml,视频原生时代来临，视频应用正加速向各行各业渗透。视频云基础设施属性显现，将有望为全行业输出商业创新与变革的源动力。本报告聚焦近年来视频云行业的变化，从新基建、新能力、新交付和新市场四个维度归纳厂商的发展思路，并对视频云市场规模和细分结构进行推算，展望视频云厂商在元宇宙时代和产业互联网应用方面的机遇。【简版报告说明】以下报告目录及图表目录为完整版目录，供参考。简版报告内容，以实际页面展示为准。,视频云服务,2022-07-29
2022年中国内容协作平台市场研究报告,https://report.iresearch.cn/report/202207/4037.shtml,本篇报告着眼于中国内容协作市场，探究知识型信息的流动创造的新的机遇，并关注新时代下内容协作平台市场的变化。随着远程办公成为新常态，如何高效协同、发挥文件内容的生产力成为热门议题，在数字工作空间下，内容要素的流动将创造更丰富的价值。报告剖析了需求侧办公场景与服务需求以及供给侧部署模式与协同创新的目前状况与新变化，指出了双循环背景下企业出海将应对的挑战，并对内容协作市场的未来的趋势做出了展望。,内容协作平台,2022-07-28
2022年草饲奶粉消费者洞察研究报告,https://report.iresearch.cn/report/202207/4036.shtml,报告通过定量问卷调研及桌面研究两种研究方法，分析草饲奶粉行业发展现状及未来发展趋势，剖析草饲奶粉的营养优势，洞察消费者对草饲奶粉的消费需求与习惯、探究高培臻爱品牌在消费者心智中的品牌认知、形象感知和净推荐值表现。,草饲奶粉,2022-07-27
2022年同城即配平台C端用户洞察研究报告,https://report.iresearch.cn/report/202207/4035.shtml,本报告将聚焦同城即配平台C端用户的认知和需求研究，结合用户调研数据，从即配行业现状与趋势展望、即配行业C端用户洞察-用户画像、即配行业C端用户洞察-用户需求、即配行业典型企业案例-顺丰同城四个方面深入分析，剖析即配行业的现状和趋势、C端用户的认知和需求。帮助即配品牌更好地理解C端用户的需求，从而洞悉即配行业C端业务未来的趋势发展。,同城即配平台,2022-07-25
2022年中国红人新经济行业发展报告,https://report.iresearch.cn/report/202207/4034.shtml,《2022年中国红人新经济行业发展报告》在对红人新经济生态发展历程梳理的同时，从生态和价值等角度出发解读Web3.0时代下红人新经济的发展升级。红人新经济的商业变现主要包含红人的流量变现、红人的内容变现和周边服务变现三种方式。随着用户消费需求和使用习惯的升级，红人新经济在创造内容价值，拉动社会经济增长的同时为社会提供社会价值。未来，红人新经济的价值将渗透到更多ToC产业，同时，硬件基础将赋能中长视频和元宇宙的迅速发展；随着红人新经济的去中心化特点将日益显著，红人的内容价值逐渐凸显，品牌投放会逐渐向腰尾部红人倾斜。,红人新经济,2022-07-25
2022年中国现磨咖啡行业研究报告,https://report.iresearch.cn/report/202207/4032.shtml,《2022年中国现磨咖啡行业研究报告》聚焦中国现磨咖啡品牌，重点分析行业发展驱动因素、产业链结构、商业模式和市场环境，深刻洞悉行业未来发展主流趋势，从产品及模式创新、供应链系统整合及深度布局、市场及营销策略等多维角度突出中国现磨咖啡的独特营销价值。,现磨咖啡,2022-07-21
2022年移动应用运营增长洞察白皮书,https://report.iresearch.cn/report/202207/4031.shtml,通过展现国内移动运营增长的现状、环境和广告投放趋势，分析和探讨移动应用的运营思路变化和相关的运营服务革新，为运营人员提供最新市场洞察，并针对用户增长的各个阶段的挑战呈现解决方向，助力移动应用运营增长。,移动应用,2022-07-18
2022年中国企业数字化学习行业研究报告,https://report.iresearch.cn/report/202207/4030.shtml,数字经济时代，数字化技术正深刻变革企业人才发展的方方面面，其中，组织学习与员工培训的数字化改造潜力巨大，已成为企业加速构建高质量人才供应链的抓手。二十余年来，企业数字化学习行业伴随着新技术应用与创新而不断发展，数字化的平台、内容和运营业已成为驱动企业落地实施培训与学习数字化转型的“三驾马车”，并呈现不断交融的发展趋势。基于此，本报告从供需双方出发，通过对行业发展驱动力、市场规模及发展痛点的描述，介绍行业的基本面情况。除此之外，报告将站在乙方厂商视角，通过调研收集不同类型客户的需求，结合海外厂商的发展路径，为乙方迭代产品、交付服务和拓展客户提供策略建议。,"企业, 数字化",2022-07-18
2022年淘宝直播年度新消费趋势报告,https://report.iresearch.cn/report/202207/4029.shtml,近年来，直播电商逐步成为刺激消费、拉动经济增长的新引擎。《2022年淘宝直播年度新消费趋势报告》呈现了直播电商的发展现状，剖析了淘宝直播的品类表现、用户画像和内容发展趋势。为更多的商家和主播带来运营参考，助力共同探索直播渠道的新策略。,"淘宝直播, 新消费",2022-07-17
2022年全球职业教育行业发展报告,https://report.iresearch.cn/report/202207/4028.shtml,《2022年全球职业教育行业发展报告》职业教育是职业学校教育与职业培训组成的有机整体，行业参与者除教育培训机构与受训学生外，还涉及企业雇主、行业协会、政府等多方，各群体共同构成密不可分的产业生态。宏观而言，职业教育培训市场的发展与当地经济结构与发展水平息息相关。全球经济结构转变与产业格局调整构成了职业教育发展的底层逻辑，各国政府、机构的支持与投入以及信息化技术的赋能也为行业发展带来了持续的推动。随着职业教育与普通教育同等重要的地位得到确认，职业教育将肩负起建设与我国经济结构转型需求相匹配的人才供给的重任，在家政、医疗、交通运输、应急等社会服务业，以及能源环保、航空航天、人工智能等战略新兴行业的发展中，发挥重要作用。职业教育培训企业在产业生态中处于关键地位，在（用人）行业的规范化中扮演承上启下的角色，在产教融合与校企合作中承担实际合作的落地，并在先进教育模式与资源内容的开发探索过程中作为先锋。,职业教育,2022-07-14
2022年中国数智融合发展洞察,https://report.iresearch.cn/report/202207/4027.shtml,VUCA时代，市场变化加速。企业需要基于全量、准确数据的分钟级、敏捷化的数智决策，并且应当由业务人员和数据分析人员任意发起，而非经过复杂流程和多部门配合实现。数据持有成本高、数据治理能力差、开发技术门槛高、数据准备工作复杂难以聚焦业务本身等系列问题让数智融合和企业敏捷决策变得困难。基于存算分离、统一元数据、DataOps与MLOps融合、端到端自动化和智能化的数智融合让企业智能用数和敏捷决策得以实现。,数智融合,2022-07-13
2022年中国电力产业数字化研究报告,https://report.iresearch.cn/report/202207/4026.shtml,随着全球迈向低零碳时代，中国能源生产与消费向低碳化、清洁化发展。电力企业作为重要能源枢纽，积极应用数智化工具，从技术、业务、战略等多维度出发实现绿色转型已是当下重中之重。本报告旨在梳理供给端整体规模及市场格局，同时在需求端聚焦电力产业的发电及输配电环节，挖掘其转型痛点，描绘典型应用场景，最后从需求升级、技术突破及行业生态三方面展望电力产业数字化的未来发展趋势。,"电力产业数字化, 云计算, 东数西算",2022-07-12
2022年中国花胶滋补行业研究报告,https://report.iresearch.cn/report/202207/4024.shtml,本报告将聚焦花胶新滋补市场，结合消费者调研数据和行业数据，从新中式滋补发展背景、花胶品类优势、花胶消费者现状、燕窝行业发展等方面分析，剖析花胶新滋补市场的现状和未来发展趋势。帮助滋补品牌更好地理解花胶行业发展情况，从而洞悉品类趋势发展。,花胶滋补,2022-07-08
云服务行业动态及热点研究月报-2022年6月,https://report.iresearch.cn/report/202207/4023.shtml,本月报是艾瑞针对整体云服务市场在本月产生的热门事件、政策动向、技术革新、招采信息、资本动态等，及重点客户和头部企业的动态信号及标杆案例，进行材料搜集并整理的行业信息监测报告。艾瑞基于云服务行业洞察，捕捉行业最新业态，为读者提供商业见解的初衷，对公开信息进行分行业、分类别的收集整理，并结合多位云服务产业分析师对关键信息的分析洞见，向读者简洁、清晰、深入地展示近期中国云服务市场的变化方向。,云服务,2022-07-07
2022年中国工业品B2B行业研究报告,https://report.iresearch.cn/report/202207/4022.shtml,在政策拉动、市场需求驱动及数字技术进步等多重力量共同作用下，工业品B2B市场具有强劲的持续增长潜力。对产业链上游，平台通过解决上游供应商在获客渠道、产品曝光度、基于完善产品标准提升产品交易匹配度以及线上运营效率四大主要发展痛点，增强平台与供应商之间的合作粘性；对产业链下游，平台加强区域网络深耕布局，积极开拓中小企业客户。未来，随着产业链各方参与主动性的增强、在产业链中占据有利地位的中小企业市场机会的不断释放以及适用于多工业领域标准的持续完善，工业品B2B市场有望进入新一轮快速发展阶段。,"工业品, B2B",2022-07-07
2022年基础云服务行业数据报告-简版,https://report.iresearch.cn/report/202207/4021.shtml,2021年中国整体云服务市场增速回暖，市场规模达到3280.2亿元，增速为45.4%。公有云市场仍为整体云市场底座，行业云建设为非公有云提供增长机遇，整体云市场正从加速扩张期过渡到稳步发展期。从市场格局看，公有云市场格局仍旧稳定，但头部厂商面临较强增长压力。从用户营收贡献看，互联网用户仍是公有云领域的主要客群，但市场相对饱和，需积极探寻新的增量空间；金融和政务则为非公有云行业的主要贡献，但增幅缓慢，工业制造和医疗贡献能力显著提升。【简版报告说明】以下报告目录及图表目录为完整版目录，供参考。简版报告内容，以实际页面展示为准。,,2022-07-06
